SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1294.10,1298.30,1271.00,1275.10,1276.00,1288.45,433,6391,8205151.00,
500003,AEGIS LOGIS ,A ,Q,282.00,287.70,278.20,281.80,280.50,282.75,403,12158,3442806.00,
500008,AMAR RAJA BA,A ,Q,820.00,820.00,806.10,817.95,818.00,814.85,572,20751,16893978.00,
500009,A.SARABHAI  ,X ,Q,13.77,14.45,12.55,14.45,14.45,13.14,345,179471,2517671.00,
500010,HDFC        ,A ,Q,1822.05,1826.55,1804.90,1813.70,1813.70,1821.75,964,228484,415199949.00,
500012,ANDHRA PETRO,X ,Q,63.50,65.50,63.50,64.90,65.40,65.50,238,56232,3647311.00,
500013,ANSAL INFRAS,B ,Q,21.00,21.00,20.20,20.80,20.55,20.65,122,21167,438002.00,
500014,APPLE FINANC,XT,Q,2.40,2.63,2.40,2.63,2.63,2.51,22,12601,32634.00,
500016,ARUNA HOTEL ,XT,Q,19.32,19.33,19.32,19.33,19.33,18.41,3,725,14007.00,
500020,BOM DYEING  ,A ,Q,259.60,259.80,252.85,254.95,254.95,258.05,2372,312912,79906406.00,
500024,ASSAMCO     ,B ,Q,4.70,4.78,4.62,4.64,4.72,4.80,37,28455,132894.00,
500027,ATUL LTD.   ,A ,Q,2735.80,2737.45,2725.00,2731.85,2725.00,2740.55,26,159,434622.00,
500028,ATV PROJECTS,XT,Q,9.60,10.40,9.60,9.98,9.79,10.06,26,13106,132021.00,
500029,AUTOLITE(I) ,B ,Q,78.15,78.30,75.05,75.65,75.65,78.50,69,4111,311770.00,
500031,BAJAJ ELECT.,A ,Q,623.65,633.00,613.05,622.30,622.30,621.20,1476,71312,44407351.00,
500032,BAJAJHIND   ,A ,Q,10.10,10.29,9.81,9.87,9.87,10.04,652,846861,8422303.00,
500033,FORCE MOTR  ,B ,Q,2864.80,2995.00,2861.00,2930.50,2930.50,2864.80,5471,67414,198593821.00,
500034,BAJFINANCE  ,A ,Q,1935.00,1954.00,1892.30,1924.90,1921.90,1922.30,1835,37122,71325279.00,
500038,BALRAM.CHINI,A ,Q,80.15,80.45,76.90,77.40,77.40,79.85,2387,557603,43561467.00,
500039,BANCO PROD. ,B ,Q,228.00,233.60,225.05,232.15,232.15,226.70,313,17997,4124979.00,
500040,CENTURY TEXT,A ,Q,1209.05,1218.70,1189.40,1212.65,1212.65,1211.80,888,31697,38217904.00,
500041,BANNARI AMAN,B ,Q,1850.00,1850.00,1850.00,1850.00,1850.00,1870.00,6,137,253450.00,
500042,BASF INDIA  ,B ,Q,1994.60,2026.00,1968.60,1980.40,1969.15,1984.05,177,1161,2303791.00,
500043,BATA INDIA  ,A ,Q,779.50,797.15,765.00,792.50,792.50,770.10,1780,64112,50402763.00,
500048,BEML LTD    ,A ,Q,1150.00,1171.70,1150.00,1153.65,1153.65,1148.15,923,27052,31313396.00,
500049,BHARAT ELECT,A ,Q,146.50,146.55,144.60,144.95,144.95,145.45,1083,120461,17491783.00,
500052,BHANSALI ENG,B ,Q,215.90,219.00,210.85,215.75,215.75,212.75,3836,338703,73015299.00,
500055,BHUSH STEEL ,B ,Q,44.50,45.60,44.20,44.65,44.65,44.55,1293,273913,12248612.00,
500059,BINANI IND. ,B ,Q,105.00,105.00,99.35,100.55,100.55,101.50,363,36743,3713631.00,
500060,BIRLACABLE  ,B ,Q,83.15,83.70,80.00,80.45,80.70,82.80,191,15016,1222666.00,
500067,BLUE STAR   ,A ,Q,802.15,808.00,787.65,795.00,795.00,788.45,516,6874,5509319.00,
500068,DISA INDIA  ,X ,Q,5931.00,6098.00,5775.00,6034.50,6034.50,5921.00,13,225,1347856.00,
500069,BNK CAPITAL ,X ,Q,107.55,107.55,99.25,99.25,99.25,101.65,15,6475,655054.00,
500074,BPL LTD.    ,B ,Q,81.25,84.50,79.60,83.35,83.35,80.85,748,117320,9686129.00,
500078,OAL         ,X ,Q,881.55,896.90,842.00,854.60,854.60,887.55,179,6978,6002335.00,
500083,CENTURY EXT ,B ,Q,5.50,5.96,5.50,5.80,5.85,5.80,14,5837,34043.00,
500084,CESC LTD.   ,A ,Q,1014.20,1024.00,1001.95,1016.05,1016.05,1008.10,657,16433,16656228.00,
500085,CHAMBAL FERT,A ,Q,166.95,169.35,165.70,167.05,167.05,166.10,731,95445,15928969.00,
